"catalyst","replicate","yield_pct"
"A",1,76.8
"A",2,70.02
"A",3,73.27
"A",4,74.22
"A",5,73.41
"A",6,71.63
"A",7,77.29
"A",8,71.67
"A",9,79.06
"A",10,71.78
"B",1,82.57
"B",2,86
"B",3,73.14
"B",4,77.02
"B",5,77.53
"B",6,80.23
"B",7,77.01
"B",8,68.7
"B",9,69.46
"B",10,82.62
"C",1,83.93
"C",2,78.77
"C",3,84.4
"C",4,89.25
"C",5,91.63
"C",6,83.49
"C",7,84.1
"C",8,78.83
"C",9,86.61
"C",10,82.76
"D",1,76.59
"D",2,77.47
"D",3,78.62
"D",4,72.87
"D",5,76.77
"D",6,68.99
"D",7,72.25
"D",8,72.02
"D",9,66.55
"D",10,75.13
