"culture","replicate","time_h","lactic_acid_g_L"
"Culture_X",1,0,2.02
"Culture_X",1,2,0.54
"Culture_X",1,4,1.98
"Culture_X",1,6,4.1
"Culture_X",1,8,6.72
"Culture_X",1,10,10.43
"Culture_X",1,12,15.15
"Culture_X",1,16,19.53
"Culture_X",1,20,21.45
"Culture_X",1,24,23.15
"Culture_X",2,0,0.86
"Culture_X",2,2,2.89
"Culture_X",2,4,3.77
"Culture_X",2,6,4.55
"Culture_X",2,8,8.44
"Culture_X",2,10,11.28
"Culture_X",2,12,14.16
"Culture_X",2,16,19.42
"Culture_X",2,20,21.35
"Culture_X",2,24,22.43
"Culture_X",3,0,1.15
"Culture_X",3,2,1.68
"Culture_X",3,4,3.18
"Culture_X",3,6,3.52
"Culture_X",3,8,8.06
"Culture_X",3,10,11.11
"Culture_X",3,12,15.15
"Culture_X",3,16,19.95
"Culture_X",3,20,20.77
"Culture_X",3,24,21.67
"Culture_Y",1,0,0
"Culture_Y",1,2,1.28
"Culture_Y",1,4,1.56
"Culture_Y",1,6,2.51
"Culture_Y",1,8,3.91
"Culture_Y",1,10,6.04
"Culture_Y",1,12,9.6
"Culture_Y",1,16,13.17
"Culture_Y",1,20,16.42
"Culture_Y",1,24,17.71
"Culture_Y",2,0,1.21
"Culture_Y",2,2,0.43
"Culture_Y",2,4,1.33
"Culture_Y",2,6,1.77
"Culture_Y",2,8,3.93
"Culture_Y",2,10,6.14
"Culture_Y",2,12,9.81
"Culture_Y",2,16,14.19
"Culture_Y",2,20,16.56
"Culture_Y",2,24,18.08
"Culture_Y",3,0,0.32
"Culture_Y",3,2,0.85
"Culture_Y",3,4,1.72
"Culture_Y",3,6,3.58
"Culture_Y",3,8,4.6
"Culture_Y",3,10,6.67
"Culture_Y",3,12,8.06
"Culture_Y",3,16,14.02
"Culture_Y",3,20,16.6
"Culture_Y",3,24,16.98
